Flat-Pot,Flat,Pot,Pop,ID ,No.,Fl_Time,Fl_Node,St_Height,St_Diam,Fl_Length,Fl_Wid,Fl_Height,Brnc_No,Leaf_No,Time_Bud
1-1,1,1,SMG,75,2,3/12/2019,4,4.1,2.6,1.5,2,1.6,7,34,3/5/2019
1-2,1,2,BMP,78,2,3/28/2019,7,8.2,1.1,1.6,1.6,1.5,10,106,3/21/2019
1-3,1,3,OWC,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-4,1,4,HDM,55,2,3/18/2019,4,15.3,2,1.6,1.8,1.7,3,26,3/8/2019
1-5,1,5,SMG,12,1,4/8/2019,8,8.2,1.1,1.4,1.5,1.4,6,82,3/31/2019
1-6,1,6,MBR,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-7,1,7,HOV,78,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-8,1,8,SMG,83,2,3/3/2019,2,5.9,1.7,1.4,1.1,1.9,1,10,2/24/2019
1-9,1,9,HDM,21,2,3/13/2019,3,4.6,1.7,1.3,1.3,1.2,4,26,3/5/2019
1-10,1,10,BMP,25,2,3/4/2019,2,7.4,1.4,1.2,1.2,1.5,0,10,2/24/2019
1-11,1,11,MTD,86,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-12,1,12,MTD,100,1,3/4/2019,3,6.1,1.6,1.5,1.5,1.4,2,14,2/25/2019
1-13,1,13,EVS,9,2,3/10/2019,4,11.3,2.3,1.3,2.1,1.6,7,32,3/1/2019
1-14,1,14,HOV,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-15,1,15,SMG,41,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-16,1,16,RRM,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-17,1,17,FIR,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-18,1,18,OWC,76,2,2/28/2019,2,6.9,1.4,1.7,1.7,1.7,4,16,2/21/2019
1-19,1,19,SEC,47,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-20,1,20,SMG,72,1,3/28/2019,8,4.1,1.6,1.4,1.7,1.4,12,88,3/13/2019
1-21,1,21,HOV,37,2,3/2/2019,2,7,1.3,1.7,1.6,1.9,2,11,2/23/2019
1-22,1,22,BMP,81,2,3/9/2019,3,4.4,1.9,1.6,1.9,1.7,6,28,3/1/2019
1-23,1,23,OWC,12,1,4/4/2019,5,9.2,2,1.5,1.7,1.7,5,96,3/26/2019
1-24,1,24,MTD,65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-25,1,25,MBR,43,1,3/8/2019,3,6.4,1.8,1.9,2.2,2.3,6,30,3/1/2019
1-26,1,26,HDM,88,1,4/10/2019,4,10.6,1.5,1.6,1.5,1.4,1,14,4/2/2019
1-27,1,27,RRM,58,1,3/5/2019,3,17.1,2.6,2.1,2.3,1.9,5,28,3/1/2019
1-28,1,28,MTD,6,1,3/1/2019,2,5.4,1.6,1.8,2,1.6,4,18,2/21/2019
1-29,1,29,BMP,44,2,3/9/2019,4,6,1.3,1.3,1.8,1.2,8,32,3/1/2019
1-30,1,30,BMP,13,1,3/21/2019,7,6.8,2,1.6,1.3,1.3,8,90,3/12/2019
1-31,1,31,SMG,53,1,3/7/2019,3,2.1,1,1.2,1.7,1.1,5,16,2/27/2019
